Number,Name,WeightGrams,ClassificationName,Code
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0206
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0214
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0306
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,H Industriell process,H0316
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,J Konserveringsmetod,J0131
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,J Konserveringsmetod,J0135
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,K Förpackningsmedium,K0003
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,M Förpackningstyp,M0001
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,N Förpackningsmaterial,N0001
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,P Etikettinfo,P0026
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,R Land/område,R0376
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,100,Z Utmärkande drag,Z0194
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,A Gruppindelning EuroFIR,A0807
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,B Artklassificering,B1201
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,C Del av växt/djur,C0195
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,E Fysisk form,E0119
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,F Värmebehandling,F0018
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,G Tillagning,G0003
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0107
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0173
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0184
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0214
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0263
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0306
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,H Industriell process,H0316
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,J Konserveringsmetod,J0100
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,J Konserveringsmetod,J0131
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,K Förpackningsmedium,K0003
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,M Förpackningstyp,M0001
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,N Förpackningsmaterial,N0001
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,P Etikettinfo,P0026
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,R Land/område,R0376
6,Matfettsblandning fett 60 % berikad typ Bregott mellan,100,Z Utmärkande drag,Z0195
7,Bordsmargarin fett 70% berikad typ Milda,100,A Gruppindelning EuroFIR,A0807
7,Bordsmargarin fett 70% berikad typ Milda,100,B Artklassificering,B1017
7,Bordsmargarin fett 70% berikad typ Milda,100,C Del av växt/djur,C0307
7,Bordsmargarin fett 70% berikad typ Milda,100,E Fysisk form,E0119
7,Bordsmargarin fett 70% berikad typ Milda,100,F Värmebehandling,F0014
7,Bordsmargarin fett 70% berikad typ Milda,100,G Tillagning,G0003
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0148
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0173
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0197
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0206
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0214
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0263
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0297
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0306
7,Bordsmargarin fett 70% berikad typ Milda,100,H Industriell process,H0316
7,Bordsmargarin fett 70% berikad typ Milda,100,J Konserveringsmetod,J0100
7,Bordsmargarin fett 70% berikad typ Milda,100,J Konserveringsmetod,J0131
7,Bordsmargarin fett 70% berikad typ Milda,100,K Förpackningsmedium,K0003
7,Bordsmargarin fett 70% berikad typ Milda,100,M Förpackningstyp,M0172
7,Bordsmargarin fett 70% berikad typ Milda,100,M Förpackningstyp,M0213
7,Bordsmargarin fett 70% berikad typ Milda,100,N Förpackningsmaterial,N0036
7,Bordsmargarin fett 70% berikad typ Milda,100,P Etikettinfo,P0026
7,Bordsmargarin fett 70% berikad typ Milda,100,R Land/område,R0376
7,Bordsmargarin fett 70% berikad typ Milda,100,Z Utmärkande drag,Z0195
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,A Gruppindelning EuroFIR,A0807
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,B Artklassificering,B1017
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,C Del av växt/djur,C0307
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,E Fysisk form,E0139
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,F Värmebehandling,F0014
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,G Tillagning,G0003
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0148
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0173
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0197
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0206
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0214
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0263
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0297
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0306
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,H Industriell process,H0316
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,J Konserveringsmetod,J0100
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,J Konserveringsmetod,J0131
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,K Förpackningsmedium,K0003
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,M Förpackningstyp,M0172
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,M Förpackningstyp,M0213
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,N Förpackningsmaterial,N0036
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,P Etikettinfo,P0026
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,R Land/område,R0376
8,Bordsmargarin extrasaltat fett 60% berikad typ Milda,100,Z Utmärkande drag,Z0195
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,A Gruppindelning EuroFIR,A0807
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,B Artklassificering,B1017
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,C Del av växt/djur,C0307
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,E Fysisk form,E0119
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,F Värmebehandling,F0014
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,G Tillagning,G0003
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0148
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0173
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0197
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0206
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0214
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0263
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0306
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,H Industriell process,H0316
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,J Konserveringsmetod,J0100
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,J Konserveringsmetod,J0131
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,K Förpackningsmedium,K0003
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,M Förpackningstyp,M0172
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,M Förpackningstyp,M0213
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,N Förpackningsmaterial,N0036
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,P Etikettinfo,P0026
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,R Land/område,R0376
9,Bordsmargarin mjölkfri fett 60% berikad typ Milda,100,Z Utmärkande drag,Z0195
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,A Gruppindelning EuroFIR,A0807
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,B Artklassificering,B1017
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,C Del av växt/djur,C0307
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,E Fysisk form,E0102
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,F Värmebehandling,F0022
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,G Tillagning,G0003
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0148
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0173
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0197
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0206
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0213
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0214
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0263
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,H Industriell process,H0306
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,J Konserveringsmetod,J0131
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,K Förpackningsmedium,K0003
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,M Förpackningstyp,M0172
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,M Förpackningstyp,M0214
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,N Förpackningsmaterial,N0036
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,P Etikettinfo,P0026
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,R Land/område,R0376
10,Flytande margarin fett 82 % berikad typ Milda culinesse,100,Z Utmärkande drag,Z0194
12,Hushållsmargarin fett 80% berikad typ Melba,100,A Gruppindelning EuroFIR,A0807
12,Hushållsmargarin fett 80% berikad typ Melba,100,B Artklassificering,B1017
12,Hushållsmargarin fett 80% berikad typ Melba,100,C Del av växt/djur,C0190
12,Hushållsmargarin fett 80% berikad typ Melba,100,E Fysisk form,E0119
12,Hushållsmargarin fett 80% berikad typ Melba,100,F Värmebehandling,F0014
12,Hushållsmargarin fett 80% berikad typ Melba,100,G Tillagning,G0003
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0148
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0173
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0197
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0206
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0214
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0263
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0306
12,Hushållsmargarin fett 80% berikad typ Melba,100,H Industriell process,H0316
12,Hushållsmargarin fett 80% berikad typ Melba,100,J Konserveringsmetod,J0100
12,Hushållsmargarin fett 80% berikad typ Melba,100,J Konserveringsmetod,J0131
12,Hushållsmargarin fett 80% berikad typ Melba,100,K Förpackningsmedium,K0003
12,Hushållsmargarin fett 80% berikad typ Melba,100,M Förpackningstyp,M0172
12,Hushållsmargarin fett 80% berikad typ Melba,100,M Förpackningstyp,M0213
12,Hushållsmargarin fett 80% berikad typ Melba,100,N Förpackningsmaterial,N0036
12,Hushållsmargarin fett 80% berikad typ Melba,100,P Etikettinfo,P0026
12,Hushållsmargarin fett 80% berikad typ Melba,100,R Land/område,R0376
12,Hushållsmargarin fett 80% berikad typ Melba,100,Z Utmärkande drag,Z0194
13,Hushållsmargarin fett 80% berikad typ Milda,100,A Gruppindelning EuroFIR,A0807
13,Hushållsmargarin fett 80% berikad typ Milda,100,B Artklassificering,B1017
13,Hushållsmargarin fett 80% berikad typ Milda,100,C Del av växt/djur,C0190
13,Hushållsmargarin fett 80% berikad typ Milda,100,E Fysisk form,E0119
13,Hushållsmargarin fett 80% berikad typ Milda,100,F Värmebehandling,F0014
13,Hushållsmargarin fett 80% berikad typ Milda,100,G Tillagning,G0003
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0148
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0173
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0197
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0206
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0214
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0260
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0263
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0306
13,Hushållsmargarin fett 80% berikad typ Milda,100,H Industriell process,H0316
13,Hushållsmargarin fett 80% berikad typ Milda,100,J Konserveringsmetod,J0100
13,Hushållsmargarin fett 80% berikad typ Milda,100,J Konserveringsmetod,J0131
13,Hushållsmargarin fett 80% berikad typ Milda,100,K Förpackningsmedium,K0003
13,Hushållsmargarin fett 80% berikad typ Milda,100,M Förpackningstyp,M0172
13,Hushållsmargarin fett 80% berikad typ Milda,100,M Förpackningstyp,M0213
13,Hushållsmargarin fett 80% berikad typ Milda,100,N Förpackningsmaterial,N0036
13,Hushållsmargarin fett 80% berikad typ Milda,100,P Etikettinfo,P0026
13,Hushållsmargarin fett 80% berikad typ Milda,100,R Land/område,R0376
13,Hushållsmargarin fett 80% berikad typ Milda,100,Z Utmärkande drag,Z0194
17,Lättmargarin fett 38% berikad typ Becel,100,A Gruppindelning EuroFIR,A0807
17,Lättmargarin fett 38% berikad typ Becel,100,B Artklassificering,B1017
17,Lättmargarin fett 38% berikad typ Becel,100,C Del av växt/djur,C0190
17,Lättmargarin fett 38% berikad typ Becel,100,E Fysisk form,E0119
17,Lättmargarin fett 38% berikad typ Becel,100,F Värmebehandling,F0014
17,Lättmargarin fett 38% berikad typ Becel,100,G Tillagning,G0003
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0148
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0165
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0173
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0197
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0206
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0214
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0306
17,Lättmargarin fett 38% berikad typ Becel,100,H Industriell process,H0316
17,Lättmargarin fett 38% berikad typ Becel,100,J Konserveringsmetod,J0100
17,Lättmargarin fett 38% berikad typ Becel,100,J Konserveringsmetod,J0131
17,Lättmargarin fett 38% berikad typ Becel,100,K Förpackningsmedium,K0003
17,Lättmargarin fett 38% berikad typ Becel,100,M Förpackningstyp,M0172
17,Lättmargarin fett 38% berikad typ Becel,100,M Förpackningstyp,M0213
17,Lättmargarin fett 38% berikad typ Becel,100,N Förpackningsmaterial,N0036
17,Lättmargarin fett 38% berikad typ Becel,100,P Etikettinfo,P0026
17,Lättmargarin fett 38% berikad typ Becel,100,R Land/område,R0376
17,Lättmargarin fett 38% berikad typ Becel,100,Z Utmärkande drag,Z0196
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,A Gruppindelning EuroFIR,A0807
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,B Artklassificering,B1017
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,C Del av växt/djur,C0190
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,E Fysisk form,E0119
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,F Värmebehandling,F0014
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,G Tillagning,G0003
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0148
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0173
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0197
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0206
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0214
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0263
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0306
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,H Industriell process,H0316
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,J Konserveringsmetod,J0100
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,J Konserveringsmetod,J0131
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,K Förpackningsmedium,K0003
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,M Förpackningstyp,M0172
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,M Förpackningstyp,M0213
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,N Förpackningsmaterial,N0036
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,P Etikettinfo,P0026
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,R Land/område,R0376
18,"Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv",100,Z Utmärkande drag,Z0196
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,A Gruppindelning EuroFIR,A0807
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,B Artklassificering,B1017
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,C Del av växt/djur,C0190
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,E Fysisk form,E0119
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,F Värmebehandling,F0014
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,G Tillagning,G0003
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0107
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0148
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0173
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0197
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0206
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0214
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0279
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0297
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0306
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,H Industriell process,H0316
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,J Konserveringsmetod,J0100
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,J Konserveringsmetod,J0131
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,K Förpackningsmedium,K0003
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,M Förpackningstyp,M0001
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,N Förpackningsmaterial,N0001
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,P Etikettinfo,P0026
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,R Land/område,R0376
20,Lättmargarin fett 40% berikad typ Lätt & lagom,100,Z Utmärkande drag,Z0196
21,Majonnäs fett 90% ,100,A Gruppindelning EuroFIR,A0859
21,Majonnäs fett 90% ,100,B Artklassificering,B1248
21,Majonnäs fett 90% ,100,C Del av växt/djur,C0307
21,Majonnäs fett 90% ,100,E Fysisk form,E0139
21,Majonnäs fett 90% ,100,F Värmebehandling,F0003
21,Majonnäs fett 90% ,100,G Tillagning,G0003
21,Majonnäs fett 90% ,100,H Industriell process,H0225
21,Majonnäs fett 90% ,100,J Konserveringsmetod,J0003
21,Majonnäs fett 90% ,100,K Förpackningsmedium,K0003
21,Majonnäs fett 90% ,100,M Förpackningstyp,M0003
21,Majonnäs fett 90% ,100,N Förpackningsmaterial,N0003
21,Majonnäs fett 90% ,100,P Etikettinfo,P0026
21,Majonnäs fett 90% ,100,R Land/område,R0376
22,Sesamsås grädde,100,A Gruppindelning EuroFIR,A0862
22,Sesamsås grädde,100,B Artklassificering,B1201
22,Sesamsås grädde,100,C Del av växt/djur,C0195
22,Sesamsås grädde,100,E Fysisk form,E0138
22,Sesamsås grädde,100,F Värmebehandling,F0014
22,Sesamsås grädde,100,G Tillagning,G0014
22,Sesamsås grädde,100,H Industriell process,H0225
22,Sesamsås grädde,100,J Konserveringsmetod,J0003
22,Sesamsås grädde,100,K Förpackningsmedium,K0003
22,Sesamsås grädde,100,M Förpackningstyp,M0003
22,Sesamsås grädde,100,N Förpackningsmaterial,N0003
22,Sesamsås grädde,100,P Etikettinfo,P0026
22,Sesamsås grädde,100,R Land/område,R0376
23,Gravlaxsås hovmästarsås,100,A Gruppindelning EuroFIR,A0862
23,Gravlaxsås hovmästarsås,100,B Artklassificering,B1248
23,Gravlaxsås hovmästarsås,100,C Del av växt/djur,C0155
23,Gravlaxsås hovmästarsås,100,E Fysisk form,E0121
23,Gravlaxsås hovmästarsås,100,F Värmebehandling,F0003
23,Gravlaxsås hovmästarsås,100,G Tillagning,G0003
23,Gravlaxsås hovmästarsås,100,H Industriell process,H0225
23,Gravlaxsås hovmästarsås,100,J Konserveringsmetod,J0003
23,Gravlaxsås hovmästarsås,100,K Förpackningsmedium,K0003
23,Gravlaxsås hovmästarsås,100,M Förpackningstyp,M0003
23,Gravlaxsås hovmästarsås,100,N Förpackningsmaterial,N0003
23,Gravlaxsås hovmästarsås,100,P Etikettinfo,P0026
23,Gravlaxsås hovmästarsås,100,R Land/område,R0376
24,Gravlaxsås,100,A Gruppindelning EuroFIR,A0862
24,Gravlaxsås,100,B Artklassificering,B1017
24,Gravlaxsås,100,C Del av växt/djur,C0190
24,Gravlaxsås,100,E Fysisk form,E0139
24,Gravlaxsås,100,F Värmebehandling,F0014
24,Gravlaxsås,100,G Tillagning,G0001
24,Gravlaxsås,100,H Industriell process,H0136
24,Gravlaxsås,100,H Industriell process,H0151
24,Gravlaxsås,100,H Industriell process,H0173
24,Gravlaxsås,100,J Konserveringsmetod,J0003
24,Gravlaxsås,100,K Förpackningsmedium,K0003
24,Gravlaxsås,100,M Förpackningstyp,M0003
24,Gravlaxsås,100,N Förpackningsmaterial,N0003
24,Gravlaxsås,100,P Etikettinfo,P0026
24,Gravlaxsås,100,R Land/område,R0376
25,Remouladsås,100,A Gruppindelning EuroFIR,A0862
25,Remouladsås,100,B Artklassificering,B1248
25,Remouladsås,100,C Del av växt/djur,C0307
25,Remouladsås,100,E Fysisk form,E0138
25,Remouladsås,100,F Värmebehandling,F0003
25,Remouladsås,100,G Tillagning,G0003
25,Remouladsås,100,H Industriell process,H0225
25,Remouladsås,100,J Konserveringsmetod,J0003
25,Remouladsås,100,K Förpackningsmedium,K0003
25,Remouladsås,100,M Förpackningstyp,M0003
